Column1,Transaction_ID,User_ID,Merchant_ID,Merchant_Category,Payment_Mode,Transaction_Amount,Transaction_Status,Timestamp,Interchange_Fee_INR
1,TXN2026100000,USR4250,MER44,Travel & Hospitality,PPI Wallet UPI,"?12,805.06",Failed,8/18/2026 19:32,?0.00
2,TXN2026100001,USR3957,MER41,Groceries & Supermarkets,Credit Card on UPI,"?10,406.81",Success,8/23/2026 3:04,?0.00
3,TXN2026100002,USR1054,MER31,Electronics & Gadgets,Bank UPI (Direct),"?7,363.46",Success,8/17/2026 18:38,?0.00
4,TXN2026100003,USR3431,MER29,Food & Dining,Bank UPI (Direct),"?12,710.15",Success,8/31/2026 6:38,?0.00
5,TXN2026100004,USR4448,MER12,Groceries & Supermarkets,PPI Wallet UPI,"?4,430.60",Success,8/19/2026 8:42,?48.74
6,TXN2026100005,USR2986,MER50,Travel & Hospitality,Bank UPI (Direct),"?3,100.31",Success,8/2/2026 11:10,?0.00
7,TXN2026100006,USR2624,MER18,Groceries & Supermarkets,Bank UPI (Direct),"?13,865.57",Success,8/24/2026 23:34,?0.00
8,TXN2026100007,USR4701,MER38,Electronics & Gadgets,Bank UPI (Direct),"?1,870.21",Success,8/25/2026 11:26,?0.00
9,TXN2026100008,USR4080,MER13,Groceries & Supermarkets,Bank UPI (Direct),"?3,555.59",Success,8/15/2026 19:44,?0.00
10,TXN2026100009,USR4433,MER26,Groceries & Supermarkets,PPI Wallet UPI,"?7,858.16",Success,8/7/2026 8:34,?86.44
11,TXN2026100010,USR1513,MER34,Groceries & Supermarkets,PPI Wallet UPI,"?11,744.25",Success,8/4/2026 8:58,?129.19
12,TXN2026100011,USR3984,MER21,Electronics & Gadgets,Bank UPI (Direct),"?8,182.60",Success,8/29/2026 3:49,?0.00
13,TXN2026100012,USR3541,MER27,Groceries & Supermarkets,Bank UPI (Direct),"?11,544.57",Success,9/7/2026 16:06,?0.00
14,TXN2026100013,USR4761,MER29,Food & Dining,PPI Wallet UPI,"?7,762.59",Success,8/28/2026 3:42,?85.39
15,TXN2026100014,USR2210,MER31,Groceries & Supermarkets,Credit Card on UPI,"?11,207.44",Success,9/10/2026 22:43,?0.00
16,TXN2026100015,USR4735,MER45,Travel & Hospitality,Bank UPI (Direct),"?10,680.95",Success,8/6/2026 15:29,?0.00
17,TXN2026100016,USR1608,MER36,Travel & Hospitality,Bank UPI (Direct),"?10,538.79",Success,8/20/2026 16:39,?0.00
18,TXN2026100017,USR4513,MER15,Groceries & Supermarkets,Bank UPI (Direct),"?7,894.02",Success,8/5/2026 23:38,?0.00
19,TXN2026100018,USR4792,MER47,Groceries & Supermarkets,Bank UPI (Direct),"?11,988.89",Success,9/3/2026 22:57,?0.00
20,TXN2026100019,USR2250,MER43,Electronics & Gadgets,PPI Wallet UPI,"?10,681.69",Success,8/2/2026 5:41,?117.50
21,TXN2026100020,USR1202,MER17,Electronics & Gadgets,Bank UPI (Direct),"?3,062.07",Success,8/3/2026 7:01,?0.00
22,TXN2026100021,USR3675,MER28,Groceries & Supermarkets,Bank UPI (Direct),"?6,568.92",Success,8/20/2026 15:50,?0.00
23,TXN2026100022,USR3453,MER13,Food & Dining,PPI Wallet UPI,"?12,556.89",Success,8/30/2026 21:09,?138.13
24,TXN2026100023,USR4618,MER41,Groceries & Supermarkets,Credit Card on UPI,?779.76,Success,8/1/2026 2:31,?0.00
25,TXN2026100024,USR1763,MER26,Groceries & Supermarkets,Bank UPI (Direct),"?1,590.05",Success,8/14/2026 4:08,?0.00
26,TXN2026100025,USR2880,MER47,Travel & Hospitality,Credit Card on UPI,"?3,388.47",Success,8/28/2026 18:04,?0.00
27,TXN2026100026,USR2797,MER33,Electronics & Gadgets,PPI Wallet UPI,"?1,340.33",Success,8/6/2026 23:14,?0.00
28,TXN2026100027,USR3049,MER49,Groceries & Supermarkets,Bank UPI (Direct),"?5,775.48",Success,8/6/2026 22:45,?0.00
29,TXN2026100028,USR4695,MER25,Groceries & Supermarkets,Credit Card on UPI,"?13,436.79",Success,8/2/2026 9:47,?0.00
30,TXN2026100029,USR2043,MER10,Food & Dining,PPI Wallet UPI,"?9,275.39",Success,8/8/2026 6:34,?102.03
31,TXN2026100030,USR1356,MER29,Electronics & Gadgets,Bank UPI (Direct),"?5,138.78",Success,8/16/2026 10:40,?0.00
32,TXN2026100031,USR1506,MER40,Groceries & Supermarkets,Credit Card on UPI,"?9,218.24",Success,8/19/2026 16:18,?0.00
33,TXN2026100032,USR1629,MER19,Groceries & Supermarkets,Bank UPI (Direct),"?1,894.23",Success,8/25/2026 12:01,?0.00
34,TXN2026100033,USR2132,MER44,Food & Dining,Bank UPI (Direct),?933.51,Success,8/29/2026 3:31,?0.00
35,TXN2026100034,USR2412,MER32,Electronics & Gadgets,Bank UPI (Direct),"?11,800.87",Success,8/19/2026 5:55,?0.00
36,TXN2026100035,USR3471,MER29,Food & Dining,PPI Wallet UPI,"?11,137.96",Success,8/13/2026 6:58,?122.52
